INFO 2018-09-17 10:47:58,015 _save: images/story/storia-1/capityolo-1/sfida-1.png Screen Shot 2018-09-17 at 12.47.47.png
INFO 2018-09-17 10:47:59,499 Generato file images/story/storia-1/capityolo-1/sfida-1_1x.png
INFO 2018-09-17 10:48:00,840 Generato file images/story/storia-1/capityolo-1/sfida-1_2x.png
INFO 2018-09-17 10:48:21,655 _save: images/story/storia-1/capityolo-1/sfida-1_bsFot7Q.png Screen Shot 2018-09-17 at 12.47.47.png
INFO 2018-09-17 10:48:23,044 Generato file images/story/storia-1/capityolo-1/sfida-1_bsFot7Q_1x.png
INFO 2018-09-17 10:48:24,510 Generato file images/story/storia-1/capityolo-1/sfida-1_bsFot7Q_2x.png
INFO 2018-09-18 07:17:44,096 _save: images/story/story-01-title/chapter-01-title/challenge-01-title.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:44,131 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:44,293 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_84hiInp.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:44,304 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_wAVJj2S.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:44,437 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_U5MWbld.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:44,449 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_bogjWCD.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:44,567 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_ZyirE61.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:44,580 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_qznL1wd.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:44,704 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_hXtpVIZ.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:44,718 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_2AioZpO.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:44,752 _save: images/story/story-01-title/chapter-01-title/challenge-02-title.png image.png
INFO 2018-09-18 07:17:44,756 Generato file images/story/story-01-title/chapter-01-title/challenge-02-title_1x.png
INFO 2018-09-18 07:17:44,758 Generato file images/story/story-01-title/chapter-01-title/challenge-02-title_2x.png
INFO 2018-09-18 07:17:44,895 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_OsM9yq3.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:44,905 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_0sj4ytR.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:45,034 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_HxDTsLT.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:45,046 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_rHPwfpU.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:45,169 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_HYo0bh4.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:45,181 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_n6h3FvD.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:45,326 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_Iw0eszY.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:45,339 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_AAwc7Ns.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:45,476 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_IXzkeX5.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:45,488 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_MpTN7EV.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:45,617 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_IupWeYh.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:45,629 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_pTUfpzg.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:45,750 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_05aVfAD.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:45,760 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_mVORGm1.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:45,896 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_WkmtNBG.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:45,906 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_nwomQd0.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:45,947 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-02-title.png image.png
